"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0025","Porites astreoides",10,FALSE,4,3,4,0
"Samp0025","Orbicella annularis",10,FALSE,68,57,43,70
"Samp0025","Orbicella annularis",10,FALSE,56,43,27,95
"Samp0025","Orbicella annularis",10,FALSE,48,12,16,85
"Samp0025","Orbicella annularis",10,FALSE,38,19,24,90
"Samp0025","Orbicella annularis",10,FALSE,37,17,26,75
"Samp0025","Orbicella annularis",10,FALSE,29,23,18,48
"Samp0025","Orbicella annularis",10,FALSE,28,17,30,87
"Samp0025","Orbicella annularis",10,FALSE,26,23,19,70
"Samp0025","Orbicella annularis",10,FALSE,68,38,29,75
"Samp0025","Montastraea cavernosa",10,TRUE,3,2,1,0
"Samp0025","Montastraea cavernosa",10,FALSE,6,3,2,0
"Samp0025","Colpophyllia natans",10,FALSE,7,5,4,0
"Samp0025","Agaricia fragilis",10,FALSE,8,3,1,0
"Samp0025","Agaricia agaricites",10,FALSE,16,4,5,80
"Samp0025","Agaricia agaricites",10,FALSE,10,8,4,10
"Samp0025","Agaricia agaricites",10,FALSE,8,5,4,0
"Samp0025","Agaricia agaricites",10,FALSE,8,6,5,20
"Samp0025","Agaricia agaricites",10,FALSE,7,4,5,0
"Samp0025","Agaricia agaricites",10,FALSE,6,3,1,0
"Samp0025","Agaricia agaricites",10,FALSE,6,4,1,0
"Samp0025","Agaricia agaricites",10,FALSE,6,3,1,0
"Samp0025","Agaricia agaricites",10,FALSE,6,3,3,0
"Samp0025","Agaricia agaricites",10,FALSE,6,3,3,0
"Samp0025","Agaricia agaricites",10,FALSE,6,5,4,0
"Samp0025","Agaricia agaricites",10,FALSE,5,2,1,0
"Samp0025","Agaricia agaricites",10,FALSE,5,3,1,0
"Samp0025","Agaricia agaricites",10,FALSE,5,3,4,0
"Samp0025","Agaricia agaricites",10,FALSE,5,2,4,25
"Samp0025","Agaricia agaricites",10,FALSE,4,4,4,0
"Samp0034","Siderastrea siderea",10,FALSE,38,27,32,87
"Samp0034","Siderastrea siderea",10,FALSE,26,20,11,20
"Samp0034","Siderastrea siderea",10,FALSE,20,12,7,95
"Samp0034","Siderastrea siderea",10,FALSE,19,15,10,20
"Samp0034","Siderastrea siderea",10,FALSE,18,16,5,5
"Samp0034","Siderastrea siderea",10,FALSE,16,13,12,10
"Samp0034","Siderastrea siderea",10,FALSE,14,8,3,85
"Samp0034","Siderastrea siderea",10,FALSE,13,10,5,10
"Samp0034","Siderastrea siderea",10,FALSE,13,8,8,30
"Samp0034","Siderastrea siderea",10,FALSE,12,7,5,15
"Samp0034","Siderastrea siderea",10,FALSE,10,6,5,20
"Samp0034","Siderastrea siderea",10,FALSE,9,8,3,20
"Samp0034","Siderastrea siderea",10,FALSE,6,3,3,10
"Samp0034","Siderastrea siderea",10,FALSE,6,4,3,0
