DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,10,6,3,35,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,9,4,7,10,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,8,7,1,5,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,8,4,1,15,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,8,6,1,15,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,8,6,2,0,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,8,5,3,5,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,7,4,1,25,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,6,5,1,45,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,6,4,1,0,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,6,4,2,55,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Siderastrea siderea,Massive starlet coral,FALSE,4,4,1,0,4,Sometimes,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Siderastreidae,Siderastrea,Anthozoa,siderea
NCRMP,Samp0005,10,12/8/2016,Porites porites,Clubtip finger coral,FALSE,14,6,7,95,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
NCRMP,Samp0005,10,12/8/2016,Porites porites,Clubtip finger coral,FALSE,6,3,4,35,4,Sometimes,FALSE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,porites
