INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0039,DUBIRAPHIA,16
CIP_medium,KS_0039,ENALLAGMA,9
CIP_medium,KS_0039,FERRISSIA,5
CIP_medium,KS_0039,GLOSSIPHONIIDAE,7
CIP_medium,KS_0039,GLYPTOTENDIPES,1
CIP_medium,KS_0039,GOMPHIDAE,1
CIP_medium,KS_0039,GORDIUS,1
CIP_medium,KS_0039,HELICOPSYCHE PIORA,19
CIP_medium,KS_0039,HEXATOMA,1
CIP_medium,KS_0039,HYALELLA AZTECA,22
CIP_medium,KS_0039,MACROMIA,1
CIP_medium,KS_0039,MACRONYCHUS GLABRATUS,9
CIP_medium,KS_0039,MUSCULIUM TRANSVERSUM,24
CIP_medium,KS_0039,NEOPORUS DIMIDIATUS,7
CIP_medium,KS_0039,NEUROCORDULIA MOLESTA,1
CIP_medium,KS_0039,OECETIS,1
CIP_medium,KS_0039,ORCONECTES VIRILIS,1
CIP_medium,KS_0039,PALAEMONETES KADIAKENSIS,5
CIP_medium,KS_0039,PALMACORIXA,4
CIP_medium,KS_0039,PELTODYTES EDENTULUS,3
CIP_medium,KS_0039,PELTODYTES LENGI,1
CIP_medium,KS_0039,PELTODYTES LITORALIS,4
CIP_medium,KS_0039,PELTODYTES SEXMACULATUS,1
CIP_medium,KS_0039,PHYSELLA,19
CIP_medium,KS_0039,PLACOBDELLA,1
CIP_medium,KS_0039,PROCLADIUS,1
CIP_medium,KS_0039,RANATRA,4
CIP_medium,KS_0039,SIALIS,22
CIP_medium,KS_0039,SIGARA,1
CIP_medium,KS_0039,STENACRON INTERPUNCTATUM,2
CIP_medium,KS_0039,STENELMIS,9
CIP_medium,KS_0039,STENELMIS VITTIPENNIS,5
CIP_medium,KS_0039,STENONEMA FEMORATUM,1
CIP_medium,KS_0039,TRICHOCORIXA,3
CIP_medium,KS_0039,TROPISTERNUS,7
CIP_medium,KS_0040,ARGIA,1
CIP_medium,KS_0040,AXARUS,1
CIP_medium,KS_0040,BAETIS,5
CIP_medium,KS_0040,BELOSTOMA,1
CIP_medium,KS_0040,BEROSUS,4
CIP_medium,KS_0040,BRANCHIURA SOWERBYI,5
CIP_medium,KS_0040,CAENIS,12
CIP_medium,KS_0040,CENTROPTILUM,2
CIP_medium,KS_0040,CHAULIODES RASTRICORNIS,1
CIP_medium,KS_0040,CHEUMATOPSYCHE,107
CIP_medium,KS_0040,CHIRONOMIDAE,2
CIP_medium,KS_0040,CHIRONOMUS,1
CIP_medium,KS_0040,CRYPTOCHIRONOMUS,2
CIP_medium,KS_0040,DICROTENDIPES,3
CIP_medium,KS_0040,DINEUTUS,8
CIP_medium,KS_0040,DUBIRAPHIA,4
CIP_medium,KS_0040,DUGESIA,4
CIP_medium,KS_0040,ENALLAGMA,1
CIP_medium,KS_0040,EPITHECA PRINCEPS,1
CIP_medium,KS_0040,ERPOBDELLIDAE,5
CIP_medium,KS_0040,GLOSSIPHONIIDAE,1
CIP_medium,KS_0040,GLYPTOTENDIPES,26
CIP_medium,KS_0040,HELICHUS BASALIS,2
CIP_medium,KS_0040,HYALELLA AZTECA,5
CIP_medium,KS_0040,HYDROPTILIDAE,4
CIP_medium,KS_0040,ISCHNURA,10
CIP_medium,KS_0040,ISONYCHIA,1
CIP_medium,KS_0040,LACCOPHILUS MACULOSUS,1
