STATIONID	COMID
WLV_04_0006	10204427
WLV_05_0110	10205609
WLV_06_0004	10205849
WLV_07_0006	10205959
WLV_08_0001	10206707
WLV_09_0001	10206089
WLV_12_0004	10207847
WLV_12_0005	10207843
WLV_13_0011	10209193
WLV_13_0013	10209461
WLV_15_0001	10209229
WLV_15_0002	10209689
WLV_15_0003	10209351
WLV_16_0002	10209979
WLV_16_0003	10208671
WLV_16_0004	10206459
WLV010_0022	10204163
WLV040_0003	10206361
WLV070_0013	10206399
WLV080_0015	10205969
WLV110_0006	10206279
WLV160_0013	10207857
WLV160_0019	10207847
WLV160_0020	10207847
WLV160_0038	10207843
WLW_02_0001	10380063
WLW_03_0002	24852152
WLW_07_0002	10381851
WLW_07_0003	10381903
WLW_09_0001	10384383
WMI_01_0008	18503465
WMI_02_0021	18503913
WMI_05_0018	18503849
WMI_05_0019	18503859
WMI_05_0020	18502917
WMI_06_0006	18503245
WPA_01_0009	18439418
WPA_01_0010	18439110
WPA_02_0001	18439230
WPA_02_0002	18439224
WPA_02_0003	18439302
WPA_02_0004	18439230
WPA_02_0005	18439250
WPA_02_0006	18439476
WPA_02_0007	18439224
WPA_03_0001	18439486
WPA_03_0006	18439328
WPA_03_0007	18439484
WPA_03_0009	18439320
WPA_03_0011	18439328
WPA_03_0012	18439320
WPA_03_0013	18439490
WPA_04_0003	18440402
WPA_04_0004	18439238
WPA_04_0005	18439446
WPA_04_0006	18439450
WPA_04_0007	18439136
WPA_04_0008	18439128
WPA_04_0010	18439168
WPA_04_0012	18440472
WPA_04_0013	18440264
WPA_04_0014	18439160
WPA_04_0015	18440472
WPA_05_0001	18440124
WPA_05_0002	18440192
WPA_05_0004	18440112
WPA_06_0001	18440382
WPA_06_0003	18440288
WPA_06_0005	18440250
WPA_06_0006	18440440
WPA_06_0007	18440382
WPA_07_0001	18440602
WPA_07_0002	18440590
WPA_07_0003	18440600
WPA_07_0004	18440460
WPA_08_0007	18440186
WPA_08_0008	18440568
WPA_08_0009	18440200
WPA_08_0010	18440448
WPA_08_0011	18440568
WSA_02_0003	18505824
WSA010_0012	18506092
WSU_01_0010	18482180
WSU_04_0003	18482302
WSU_05_0001	18483252
WSU_06_0010	18483430
WSU_06_0012	18483462
WSU_06_0014	18482498
WSU010_0010	18482706
WSU040_0020	18482398
WTI_02_0021	18486586
WTI_03_0014	18486760
WTI_04_0017	18489000
WTI_05_0015	18489132
WTI_06_0008	18489096
WTI_06_0010	18487750
WTI_08_0004	18489890
WTI_10_0012	18488726
WTI_12_0004	18490472
WTI_13_0002	18490464
WUW_07_0014	18508402
WUW_08_0006	18508400
WUW_10_0001	18507384
WUW_10_0002	18508282
WUW_11_0004	18508536
WUW_14_0002	18508572
WUW_15_0001	18508462
WUW_15_0002	18509002
WUW_16_0002	18509152
WWE_02_0002	18464560
WWE_04_0003	18464506
WWE_04_0006	18464506
WWE_05_0005	18464624
WWE_06_0001	18466392
WWE_07_0001	18465584
WWE_07_0003	18466388
WWE_07_0004	18466554
WWE_07_0005	18465058
WWE_08_0003	18466486
WWL_01_0003	18469770
WWL_01_0004	18469524
WWL_02_0003	18469570
WWL_03_0003	18470238
WWL_04_0001	18470054
WWL_05_0001	18470416
WWL_07_0002	18470750
WWL_08_0003	18472170
WWL_08_0004	18470990
WWL_10_0004	18471090
WWL_10_0005	18471056
WWU_01_0003	18474115
WWU_01_0006	18474727
WWU_03_0001	18474927
WWU_03_0002	18474935
WWU_04_0001	18474739
WWU_05_0001	18474685
WWU_07_0001	18474777
WWU_07_0002	18476313
WWU_08_0002	18475729
WWU_08_0004	18475725
WWU_09_0002	18476873
WWU_09_0003	18476401
WWU_09_0004	18474871
WWU_10_0002	18476341
WWU_11_0004	18476789
WWU_11_0005	18476799
WWU_13_0001	18476813
WWU_13_0003	18476591
WWU_13_0006	18476407
WWU_15_0001	18477427
WWU_15_0002	18477247
WWU_17_0003	18477357
WWU010_0039	18474115
WWU100_0040	18475665
WWU100_0064	18475665
WWU100_0078	18474863
WWU100_0098	18474829
WWU100_0106	18474829
